gftp	xap/gftp-2.8.0b-i586-1.txz
ghostscript	ap/ghostscript-9.55.0-i586-1.txz
ghostscript-fonts-std	ap/ghostscript-fonts-std-8.11-noarch-5.txz
giflib	l/giflib-5.2.1-i586-4.txz
gimp	xap/gimp-2.10.30-i586-2.txz
git	d/git-2.35.1-i586-1.txz
gjs	l/gjs-1.70.0-i586-1.txz
gkrellm	xap/gkrellm-2.3.11-i586-3.txz
glade	l/glade-3.38.2-i586-5.txz
glew	x/glew-2.2.0-i586-3.txz
glib	l/glib-1.2.10-i586-9.txz
glib-networking	l/glib-networking-2.70.1-i586-1.txz
glib2	l/glib2-2.70.3-i586-1.txz
glibc	l/glibc-2.33-i586-5.txz
glibc-i18n	l/glibc-i18n-2.33-i586-5.txz
glibc-profile	l/glibc-profile-2.33-i586-5.txz
glibc-zoneinfo	a/glibc-zoneinfo-2021e-noarch-1.txz
glibmm	l/glibmm-2.64.5-i586-3.txz
glu	x/glu-9.0.2-i586-1.txz
gmime	l/gmime-3.2.7-i586-4.txz
gmm	l/gmm-5.4-noarch-3.txz
gmp	l/gmp-6.2.1-i586-3.txz
gnome-keyring	l/gnome-keyring-40.0-i586-1.txz
gnome-themes-extra	l/gnome-themes-extra-3.28-i586-3.txz
gnu-efi	l/gnu-efi-3.0.14-i586-1.txz
gnuchess	xap/gnuchess-6.2.9-i586-1.txz
gnucobol	d/gnucobol-3.1.2-i586-3.txz
gnupg	n/gnupg-1.4.23-i586-4.txz
gnupg2	n/gnupg2-2.2.33-i586-1.txz
gnuplot	xap/gnuplot-5.4.3-i586-1.txz
gnutls	n/gnutls-3.7.2-i586-1.txz
gobject-introspection	l/gobject-introspection-1.70.0-i586-3.txz
gpa	n/gpa-0.10.0-i586-3.txz
gparted	xap/gparted-1.3.1-i586-1.txz
gperf	d/gperf-3.1-i586-4.txz
gpgme	n/gpgme-1.16.0-i586-3.txz
gphoto2	ap/gphoto2-2.5.28-i586-1.txz
gpm	a/gpm-1.20.7-i586-9.txz
gptfdisk	a/gptfdisk-1.0.8-i586-1.txz
granatier	kde/granatier-21.12.1-i586-1.txz
grantlee	l/grantlee-5.2.0-i586-3.txz
grantlee-editor	kde/grantlee-editor-21.12.1-i586-1.txz
grantleetheme	kde/grantleetheme-21.12.1-i586-1.txz
graphene	l/graphene-1.10.6-i586-1.txz
graphite2	l/graphite2-1.3.14-i586-3.txz
grep	a/grep-3.7-i586-1.txz
groff	ap/groff-1.22.4-i586-4.txz
grub	a/grub-2.06-i586-4.txz
gsettings-desktop-schemas	l/gsettings-desktop-schemas-40.0-i586-1.txz
gsl	l/gsl-2.7-i586-1.txz
gst-plugins-bad-free	l/gst-plugins-bad-free-1.18.5-i586-4.txz
gst-plugins-base	l/gst-plugins-base-1.18.5-i586-1.txz
gst-plugins-good	l/gst-plugins-good-1.18.5-i586-2.txz
gst-plugins-libav	l/gst-plugins-libav-1.18.5-i586-1.txz
gstreamer	l/gstreamer-1.18.5-i586-1.txz
gtk+	l/gtk+-1.2.10-i586-9.txz
gtk+2	l/gtk+2-2.24.33-i586-2.txz
gtk+3	l/gtk+3-3.24.31-i586-1.txz
gtk4	l/gtk4-4.4.1-i586-1.txz
gtkmm2	l/gtkmm2-2.24.5-i586-4.txz
gtkmm3	l/gtkmm3-3.24.5-i586-1.txz
gtksourceview3	l/gtksourceview3-3.24.11-i586-4.txz
gtkspell	l/gtkspell-2.0.16-i586-7.txz
gucharmap	xap/gucharmap-12.0.1-i586-3.txz
guile	d/guile-3.0.7-i586-1.txz
gutenprint	ap/gutenprint-5.3.4-i586-3.txz
gv	xap/gv-3.7.4-i586-5.txz
gvfs	l/gvfs-1.48.1-i586-1.txz
gwenview	kde/gwenview-21.12.1-i586-1.txz
gyp	d/gyp-20210831_d6c5dd51-i586-2.txz
gzip	a/gzip-1.11-i586-1.txz
hack-fonts-ttf	x/hack-fonts-ttf-3.003-noarch-3.txz
harfbuzz	l/harfbuzz-3.2.0-i586-1.txz
haveged	a/haveged-1.9.17-i586-1.txz
hdparm	a/hdparm-9.63-i586-1.txz
help2man	d/help2man-1.48.5-i586-1.txz
hexchat	xap/hexchat-2.16.0-i586-3.txz
hfsutils	tcl/hfsutils-3.2.6-i586-8.txz
hicolor-icon-theme	l/hicolor-icon-theme-0.17-noarch-4.txz
hostname	a/hostname-3.23-i586-3.txz
hplip	ap/hplip-3.20.5-i586-6.txz
htdig	n/htdig-3.2.0b6-i586-8.txz
htop	ap/htop-3.1.2-i586-1.txz
httpd	n/httpd-2.4.52-i586-1.txz
hunspell	l/hunspell-1.7.0-i586-1.txz
hwdata	a/hwdata-0.355-noarch-1.txz
hyphen	l/hyphen-2.8.8-i586-3.txz
ibus	x/ibus-1.5.25-i586-5.txz
ibus-anthy	x/ibus-anthy-1.5.14-i586-1.txz
ibus-hangul	x/ibus-hangul-1.5.4-i586-5.txz
ibus-kkc	x/ibus-kkc-1.5.22-i586-3.txz
ibus-libpinyin	x/ibus-libpinyin-1.12.1-i586-3.txz
ibus-m17n	x/ibus-m17n-1.4.9-i586-1.txz
ibus-table	x/ibus-table-1.14.1-i586-3.txz
ibus-unikey	x/ibus-unikey-0.6.1-i586-3.txz
